date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:41	577544/577544	---M--	200	added ('OK')	application/postscript	etag:%225c463-8d008-464403c962500%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2005/tit05y.ps	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2005/tit05y.ps	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:18:52	273468/273468	---M--	200	added ('OK')	application/pdf	etag:%225c464-42c3c-4653388944b00%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2005/tit05z.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2005/tit05z.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:19:05	147287/147287	---M--	200	added ('OK')	application/pdf	etag:%225c459-23f57-465338beac900%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/isita04.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/isita04.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:19:24	426291/426291	---M--	200	added ('OK')	application/postscript	etag:%225c45a-68133-4663950c37b40%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/isita04.ps	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/isita04.ps	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:19:34	259019/259019	---M--	200	added ('OK')	application/postscript	etag:%225c450-3f3cb-4663950a4f6c0%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/gmc04.ps	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/gmc04.ps	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:19:38	203081/203081	---M--	200	added ('OK')	application/pdf	etag:%225c44f-31949-465338c64db00%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/gmc04.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/gmc04.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:19:57	108542/108542	---M--	200	added ('OK')	application/postscript	etag:%225c458-1a7fe-4663951a85d00%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/isit04y.ps	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/isit04y.ps	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:20:09	219726/219726	---M--	200	added ('OK')	application/pdf	etag:%225c45b-35a4e-465338cc06880%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/vtc04j.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/vtc04j.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:20:26	100956/100956	---M--	200	added ('OK')	application/postscript	etag:%225c456-18a5c-4663951991ac0%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/isit04m.ps	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/isit04m.ps	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:20:39	76594/76594	---M--	200	added ('OK')	application/pdf	etag:%225c455-12b32-465338d58ff00%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2004/isit04m.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2004/isit04m.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
